GexfID	Title	IMDB_id	ReleaseDate	Slug	WeightedDegree	Modularity	PathLength	Diameter	ClusteringCoefficient	ConnectedComponents	Density	Edges	Characters
93	Bachelor Party	tt0086927	1984	Bachelor-Party	12,957	0,334	2,011	4,000	0,771	5,000	0,131	374	46
97	Backdraft	tt0101393	1991	Backdraft	14,537	0,196	1,969	4,000	0,704	2,000	0,212	341	36
98	Bad Boys	tt0112442	1995	Bad-Boys	9,250	0,298	2,121	3,000	0,707	3,000	0,122	257	40
99	Bad Day at Black Rock	tt0047849	1955	Bad-Day-at-Black-Rock	12,778	0,077	1,557	3,000	0,648	3,000	0,333	142	14
100	The Bad Lieutenant: Port of Call - New Orleans	tt1095217	2009	The-Bad-Lieutenant:-Port-of-Call---New-Orleans	4,091	0,476	1,930	3,000	0,714	6,000	0,089	87	37
101	Bad Santa	tt0307987	2003	Bad-Santa	5,368	0,323	1,964	3,000	0,561	7,000	0,101	120	33
102	Badlands	tt0069762	1973	Badlands	6,526	0,269	1,889	3,000	0,607	2,000	0,164	69	16
103	Bamboozled	tt0215545	2000	Bamboozled	10,852	0,447	2,114	3,000	0,659	4,000	0,111	289	56
104	Barry Lyndon	tt0072684	1975	Barry-Lyndon	5,755	0,449	1,981	3,000	0,612	3,000	0,081	159	47
106	Basic	tt0264395	2003	Basic	16,545	0,250	1,922	4,000	0,715	1,000	0,281	250	18
107	Basic Instinct	tt0103772	1992	Basic-Instinct	13,680	0,187	1,720	2,000	0,799	1,000	0,280	236	24
108	Basquiat	tt0115632	1996	Basquiat	14,426	0,277	1,793	2,000	0,792	2,000	0,200	478	58
109	Batman	tt0096895	1989	Batman	5,574	0,451	2,464	5,000	0,593	10,000	0,072	194	58
110	Batman Returns	tt0103776	1992	Batman-Returns	6,133	0,589	2,969	7,000	0,708	5,000	0,078	190	54
111	The Battle of Algiers	tt0058946	1966	The-Battle-of-Algiers	3,962	0,580	2,948	7,000	0,495	9,000	0,066	93	48
112	The Battle of Shaker Heights	tt0357470	2003	The-Battle-of-Shaker-Heights	8,059	0,311	2,039	4,000	0,738	1,000	0,148	166	32
113	The Beach	tt0163978	2000	The-Beach	8,811	0,410	1,863	3,000	0,751	1,000	0,168	182	35
114	Bean	tt0118689	1997	Bean	9,158	0,420	2,879	8,000	0,540	7,000	0,119	213	37
115	Beavis and Butt-Head Do America	tt0115641	1996	Beavis-and-Butt-Head-Do-America	7,180	0,415	2,276	4,000	0,739	6,000	0,082	263	57
116	Being Human	tt1349938	2008	Being-Human	6,455	0,527	2,222	5,000	0,682	5,000	0,074	250	65
117	Being John Malkovich	tt0120601	1999	Being-John-Malkovich	7,238	0,364	2,151	3,000	0,699	5,000	0,102	189	38
118	Being There	tt0078841	1979	Being-There	7,451	0,393	2,167	4,000	0,701	2,000	0,092	223	51
119	The Believer	tt0247199	2001	The-Believer	8,679	0,363	2,002	5,000	0,669	5,000	0,112	232	46
120	Beloved	tt0120603	1998	Beloved	6,050	0,480	2,264	4,000	0,484	6,000	0,090	148	37
122	Big	tt0094737	1988	Big	12,824	0,184	1,775	3,000	0,647	2,000	0,301	160	17
123	Bear in the Big Blue House	tt0173664	1997	Bear-in-the-Big-Blue-House	10,194	0,247	1,952	3,000	0,646	4,000	0,176	213	30
124	Big Fish	tt0319061	2003	Big-Fish	6,698	0,446	2,166	3,000	0,751	2,000	0,103	174	38
125	The Big Lebowski	tt0118715	1998	The-Big-Lebowski	8,419	0,378	1,918	3,000	0,647	2,000	0,107	198	37
126	The Big White	tt0402850	2005	The-Big-White	7,813	0,363	2,217	4,000	0,597	4,000	0,129	171	32
127	The Birds	tt0056869	1963	The-Birds	16,444	0,260	1,573	2,000	0,885	1,000	0,427	211	26
128	Birthday Girl	tt0188453	2001	Birthday-Girl	4,100	0,302	1,860	3,000	0,452	4,000	0,132	59	19
129	The Black Dahlia	tt0387877	2006	The-Black-Dahlia	7,281	0,356	2,048	4,000	0,595	4,000	0,071	300	63
130	Black Rain	tt0096933	1989	Black-Rain	8,966	0,278	1,854	3,000	0,713	2,000	0,175	161	27
131	Black Snake Moan	tt0462200	2006	Black-Snake-Moan	6,000	0,408	2,146	3,000	0,677	2,000	0,121	119	32
132	Blade	tt0120611	1998	Blade	6,897	0,275	1,953	4,000	0,602	4,000	0,140	137	29
133	Blade II	tt0187738	2002	Blade-II	14,000	0,169	1,996	5,000	0,664	2,000	0,222	239	21
134	Blade Runner	tt0083658	1982	Blade-Runner	5,231	0,442	2,458	4,000	0,520	1,000	0,138	79	25
135	Blade: Trinity	tt0359013	2004	Blade:-Trinity	6,824	0,439	2,502	5,000	0,568	7,000	0,096	164	36
136	Blast from the Past	tt0124298	1999	Blast-from-the-Past	8,125	0,510	2,368	4,000	0,612	3,000	0,105	256	48
137	Blood Simple.	tt0086979	1984	Blood-Simple.	5,375	0,305	1,985	3,000	0,421	5,000	0,175	59	15
138	Blow	tt0221027	2001	Blow	8,632	0,380	2,000	4,000	0,675	2,000	0,093	294	55
139	Blue Velvet	tt0090756	1986	Blue-Velvet	8,111	0,410	1,979	3,000	0,600	4,000	0,108	195	34
141	Bodies, Rest & Motion	tt0106447	1993	Bodies,-Rest-&-Motion	6,385	0,252	1,905	3,000	0,573	4,000	0,160	80	17
142	Body Heat	tt0082089	1981	Body-Heat	8,000	0,285	1,779	2,000	0,501	3,000	0,182	113	22
143	Body of Evidence	tt0106453	1993	Body-of-Evidence	10,154	0,246	1,883	3,000	0,738	1,000	0,209	153	24
144	The Bodyguard	tt0103855	1992	The-Bodyguard	8,913	0,365	2,043	4,000	0,607	5,000	0,118	264	45
145	Bones	tt0460627	2005	Bones	10,146	0,425	2,689	6,000	0,679	5,000	0,140	224	28
146	The Bonfire of the Vanities	tt0099165	1990	The-Bonfire-of-the-Vanities	10,265	0,459	2,110	3,000	0,730	3,000	0,120	394	64
147	Bonnie and Clyde	tt0061418	1967	Bonnie-and-Clyde	8,560	0,369	1,930	4,000	0,595	4,000	0,153	152	24
148	Boogie Nights	tt0118749	1997	Boogie-Nights	9,574	0,332	2,258	4,000	0,614	7,000	0,096	344	53
149	The Book of Eli	tt1037705	2010	The-Book-of-Eli	9,172	0,292	1,791	2,000	0,800	2,000	0,195	133	23
150	The Boondock Saints II: All Saints Day	tt1300851	2009	The-Boondock-Saints-II:-All-Saints-Day	9,930	0,425	2,511	5,000	0,631	8,000	0,098	374	54
151	The Boondock Saints	tt0144117	1999	The-Boondock-Saints	9,524	0,371	2,159	3,000	0,559	5,000	0,116	245	40
152	Bottle Rocket	tt0115734	1996	Bottle-Rocket	12,514	0,275	1,815	3,000	0,780	1,000	0,205	277	33
153	Bound	tt0115736	1996	Bound	12,133	0,393	2,019	3,000	0,777	1,000	0,295	139	15
154	The Bounty Hunter	tt1038919	2010	The-Bounty-Hunter	6,140	0,377	2,213	4,000	0,470	9,000	0,084	161	30
155	The Bourne Identity	tt0258463	2002	The-Bourne-Identity	5,170	0,532	2,197	4,000	0,588	9,000	0,081	108	38
157	The Bourne Ultimatum	tt0440963	2007	The-Bourne-Ultimatum	5,647	0,406	2,337	4,000	0,601	6,000	0,080	164	45
158	Braveheart	tt0112573	1995	Braveheart	10,053	0,378	2,197	5,000	0,707	6,000	0,114	400	70
159	Brazil	tt0088846	1985	Brazil	6,818	0,393	1,965	4,000	0,722	5,000	0,111	161	40
161	Breakdown	tt0118771	1997	Breakdown	8,800	0,278	1,821	3,000	0,656	1,000	0,237	122	20
162	The Breakfast Club	tt0088847	1985	The-Breakfast-Club	19,333	0,029	1,417	3,000	0,681	1,000	0,611	122	9
163	Brick	tt0393109	2005	Brick	6,444	0,344	1,810	2,000	0,758	5,000	0,137	100	22
164	Bringing Out the Dead	tt0163988	1999	Bringing-Out-the-Dead	9,488	0,342	1,887	3,000	0,782	1,000	0,147	230	40
165	Broadcast News	tt0092699	1987	Broadcast-News	10,943	0,285	2,044	3,000	0,757	2,000	0,128	384	53
166	Broken Arrow	tt0115759	1996	Broken-Arrow	8,984	0,419	2,406	4,000	0,727	3,000	0,107	179	33
167	Broken Embraces	tt0913425	2009	Broken-Embraces	8,762	0,315	2,162	4,000	0,638	2,000	0,134	205	36
169	Bruce Almighty	tt0315327	2003	Bruce-Almighty	6,947	0,444	1,949	3,000	0,711	6,000	0,098	212	55
170	Buffy the Vampire Slayer	tt0118276	1997	Buffy-the-Vampire-Slayer	13,422	0,217	2,006	5,000	0,597	4,000	0,206	271	33
171	Bull Durham	tt0094812	1988	Bull-Durham	14,051	0,228	1,867	3,000	0,649	4,000	0,216	341	34
173	Burlesque	tt1126591	2010	Burlesque	13,436	0,285	1,791	3,000	0,812	2,000	0,215	275	29
174	Burn After Reading	tt0887883	2008	Burn-After-Reading	5,200	0,450	2,412	4,000	0,573	6,000	0,096	128	39
175	The Butterfly Effect	tt0289879	2004	The-Butterfly-Effect	8,800	0,331	1,932	3,000	0,729	3,000	0,126	203	31
176	The Cable Guy	tt0115798	1996	The-Cable-Guy	8,744	0,310	1,919	3,000	0,601	6,000	0,117	225	38
177	Capote	tt0379725	2005	Capote	6,435	0,378	2,131	4,000	0,749	2,000	0,100	188	43
178	Casino	tt0112641	1995	Casino	9,628	0,415	2,060	3,000	0,758	5,000	0,052	673	111
179	Cast Away	tt0162222	2000	Cast-Away	5,421	0,375	1,872	2,000	0,807	4,000	0,097	130	37
180	Catch Me If You Can	tt0264464	2002	Catch-Me-If-You-Can	4,429	0,496	2,177	4,000	0,562	10,000	0,038	227	87
182	The Cell	tt0209958	2000	The-Cell	8,214	0,358	2,217	5,000	0,510	5,000	0,156	148	27
183	Cellular	tt0337921	2004	Cellular	9,170	0,392	2,176	4,000	0,790	2,000	0,115	271	49
184	Changeling	tt0824747	2008	Changeling	6,000	0,460	2,494	5,000	0,613	3,000	0,079	206	57
185	Spin City	tt0115369	1996	Spin-City	12,063	0,190	1,972	4,000	0,650	2,000	0,185	248	31
186	Charade	tt0056923	1963	Charade	12,353	0,191	2,002	4,000	0,547	4,000	0,193	227	32
187	Charlie's Angels: Full Throttle	tt0305357	2003	Charlie's-Angels:-Full-Throttle	12,129	0,262	2,045	4,000	0,648	4,000	0,172	263	29
189	Chasing Sleep	tt0221069	2000	Chasing-Sleep	8,211	0,170	1,706	2,000	0,743	3,000	0,234	87	18
190	Cherry Falls	tt0175526	2000	Cherry-Falls	5,444	0,486	2,831	7,000	0,581	3,000	0,080	174	52
191	Chinatown	tt0071315	1974	Chinatown	6,800	0,400	1,898	2,000	0,704	1,000	0,102	168	45
192	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	tt0363771	2005	The-Chronicles-of-Narnia:-The-Lion,-the-Witch-and-the-Wardrobe	19,313	0,155	1,673	3,000	0,822	1,000	0,335	391	28
193	The Cider House Rules	tt0124315	1999	The-Cider-House-Rules	15,789	0,323	2,024	4,000	0,707	1,000	0,199	410	33
194	The Cincinnati Kid	tt0059037	1965	The-Cincinnati-Kid	15,707	0,189	1,832	4,000	0,675	5,000	0,243	289	33
195	Cinema Paradiso	tt0095765	1988	Cinema-Paradiso	6,115	0,350	2,217	4,000	0,573	8,000	0,088	164	47
197	Citizen Kane	tt0033467	1941	Citizen-Kane	6,754	0,563	2,479	4,000	0,763	4,000	0,083	210	54
198	City of Joy	tt0103976	1992	City-of-Joy	10,522	0,305	2,017	4,000	0,679	3,000	0,138	303	44
199	Clash of the Titans	tt0800320	2010	Clash-of-the-Titans	8,706	0,320	1,918	3,000	0,538	6,000	0,157	194	31
200	Clerks.	tt0109445	1994	Clerks.	8,154	0,370	2,043	3,000	0,770	1,000	0,167	152	35
201	Cliffhanger	tt0106582	1993	Cliffhanger	13,913	0,269	1,834	3,000	0,738	1,000	0,308	210	23
204	Cobb	tt0109450	1994	Cobb	7,805	0,374	1,952	3,000	0,800	1,000	0,133	185	40
205	Code of Silence	tt0088936	1985	Code-of-Silence	6,818	0,363	2,232	5,000	0,589	4,000	0,111	181	43
206	Cold Mountain	tt0159365	2003	Cold-Mountain	7,745	0,434	2,173	4,000	0,580	3,000	0,104	225	43
208	Collateral Damage	tt0233469	2002	Collateral-Damage	6,292	0,360	2,009	4,000	0,612	6,000	0,087	189	46
209	Confessions of a Dangerous Mind	tt0270288	2002	Confessions-of-a-Dangerous-Mind	4,865	0,446	2,182	5,000	0,569	6,000	0,050	202	73
210	Confidence	tt0310910	2003	Confidence	15,852	0,191	1,791	3,000	0,697	2,000	0,236	281	26
211	Constantine	tt0360486	2005	Constantine	5,769	0,335	2,022	4,000	0,512	3,000	0,135	100	26
212	The Cooler	tt0318374	2003	The-Cooler	9,176	0,306	1,892	3,000	0,727	4,000	0,185	189	32
213	Copycat	tt0112722	1995	Copycat	4,279	0,441	2,301	4,000	0,582	10,000	0,081	107	41
214	Coraline	tt0327597	2009	Coraline	7,667	0,402	1,875	2,000	0,854	1,000	0,125	155	28
216	Cradle 2 the Grave	tt0306685	2003	Cradle-2-the-Grave	10,462	0,349	2,186	4,000	0,625	3,000	0,162	248	38
217	Crank	tt0479884	2006	Crank	6,286	0,356	2,067	4,000	0,568	10,000	0,064	153	40
218	Crash	tt0375679	2004	Crash	6,133	0,290	1,971	3,000	0,504	1,000	0,238	57	15
220	Crime Spree	tt0310924	2003	Crime-Spree	14,255	0,286	2,227	4,000	0,602	5,000	0,141	457	46
221	Crouching Tiger, Hidden Dragon	tt0190332	2000	Crouching-Tiger,-Hidden-Dragon	8,182	0,389	2,101	4,000	0,652	2,000	0,174	159	33
222	Croupier	tt0159382	1998	Croupier	8,061	0,370	1,861	2,000	0,628	2,000	0,131	173	33
223	The Crow: Salvation	tt0132910	2000	The-Crow:-Salvation	7,000	0,330	2,030	4,000	0,651	4,000	0,135	143	33
224	The Crow	tt0109506	1994	The-Crow	6,600	0,368	2,340	5,000	0,538	1,000	0,156	119	30
225	The Crow: City of Angels	tt0115986	1996	The-Crow:-City-of-Angels	7,440	0,250	1,924	4,000	0,697	2,000	0,200	111	21
226	Cruel Intentions	tt0139134	1999	Cruel-Intentions	8,375	0,250	1,900	4,000	0,668	1,000	0,275	92	16
227	The Crying Game	tt0104036	1992	The-Crying-Game	14,533	0,250	1,686	3,000	0,766	1,000	0,371	143	14
229	The Curious Case of Benjamin Button	tt0421715	2008	The-Curious-Case-of-Benjamin-Button	12,130	0,333	2,130	4,000	0,675	2,000	0,126	373	46
231	The Damned United	tt1226271	2009	The-Damned-United	7,459	0,349	1,911	3,000	0,719	1,000	0,126	166	35
232	Dances with Wolves	tt0099348	1990	Dances-with-Wolves	6,051	0,491	2,278	4,000	0,569	8,000	0,104	146	39
234	Dark Star	tt0069945	1974	Dark-Star	8,545	0,055	1,429	2,000	0,530	4,000	0,291	64	11
235	Darkman	tt0099365	1990	Darkman	12,921	0,354	1,979	4,000	0,787	5,000	0,123	189	41
236	Date Night	tt1279935	2010	Date-Night	10,326	0,312	1,836	2,000	0,829	1,000	0,164	210	33
238	Day of the Dead	tt0088993	1985	Day-of-the-Dead	5,674	0,522	2,489	5,000	0,529	6,000	0,100	134	34
239	The Day the Clown Cried	tt0068451	1972	The-Day-the-Clown-Cried	12,000	0,298	1,835	3,000	0,726	3,000	0,189	298	40
240	The Day the Earth Stood Still	tt0043456	1951	The-Day-the-Earth-Stood-Still	7,077	0,492	2,302	5,000	0,674	6,000	0,142	154	34
241	Days of Heaven	tt0077405	1978	Days-of-Heaven	10,200	0,236	1,817	3,000	0,665	3,000	0,200	143	16
242	Dead Poets Society	tt0097165	1989	Dead-Poets-Society	21,378	0,223	1,808	3,000	0,794	2,000	0,281	629	44
243	Death at a Funeral	tt0795368	2007	Death-at-a-Funeral	25,200	0,081	1,509	3,000	0,831	2,000	0,484	356	19
244	Death to Smoochy	tt0266452	2002	Death-to-Smoochy	7,240	0,493	2,462	4,000	0,750	1,000	0,098	211	48
246	Deep Cover	tt0104073	1992	Deep-Cover	8,615	0,335	2,083	4,000	0,712	4,000	0,132	199	34
247	Deep Rising	tt0118956	1998	Deep-Rising	16,762	0,272	1,786	3,000	0,801	1,000	0,371	243	19
248	The Deer Hunter	tt0077416	1978	The-Deer-Hunter	7,600	0,332	2,179	5,000	0,505	6,000	0,104	193	38
249	Defiance	tt1034303	2008	Defiance	12,029	0,299	2,006	4,000	0,630	7,000	0,109	509	57
250	The Departed	tt0407887	2006	The-Departed	7,273	0,402	2,350	4,000	0,554	3,000	0,082	236	49
251	Detroit Rock City	tt0165710	1999	Detroit-Rock-City	10,157	0,282	2,144	4,000	0,797	5,000	0,120	281	43
252	Devil in a Blue Dress	tt0112857	1995	Devil-in-a-Blue-Dress	7,257	0,370	1,904	3,000	0,712	2,000	0,138	149	35
253	The Devil's Advocate	tt0118971	1997	The-Devil's-Advocate	8,565	0,323	2,011	3,000	0,601	4,000	0,116	257	46
254	Die Hard	tt0095016	1988	Die-Hard	14,333	0,202	1,872	3,000	0,756	2,000	0,210	418	48
255	The Distinguished Gentleman	tt0104114	1992	The-Distinguished-Gentleman	11,736	0,283	1,869	3,000	0,748	3,000	0,150	367	52
256	Disturbia	tt0486822	2007	Disturbia	7,000	0,262	1,747	2,000	0,620	5,000	0,174	111	21
257	Do the Right Thing	tt0097216	1989	Do-the-Right-Thing	14,811	0,281	1,745	3,000	0,704	2,000	0,272	290	30
258	Dog Day Afternoon	tt0072890	1975	Dog-Day-Afternoon	17,705	0,260	1,821	4,000	0,765	4,000	0,229	338	39
260	Donnie Brasco	tt0119008	1997	Donnie-Brasco	10,549	0,377	2,069	4,000	0,719	2,000	0,125	305	44
261	The Doors	tt0101761	1991	The-Doors	16,198	0,333	2,015	5,000	0,790	4,000	0,120	718	91
262	Double Indemnity	tt0036775	1944	Double-Indemnity	4,733	0,309	1,753	2,000	0,466	7,000	0,110	82	21
263	Drag Me to Hell	tt1127180	2009	Drag-Me-to-Hell	7,733	0,317	1,871	3,000	0,762	1,000	0,177	98	22
264	Dragonslayer	tt0082288	1981	Dragonslayer	13,500	0,166	1,525	2,000	0,793	1,000	0,475	136	15
265	Drop Dead Gorgeous	tt0157503	1999	Drop-Dead-Gorgeous	12,113	0,264	1,973	4,000	0,577	9,000	0,146	401	53
266	A Dry White Season	tt0097243	1989	A-Dry-White-Season	8,242	0,511	2,277	4,000	0,682	6,000	0,086	325	65
268	Dumb & Dumber	tt0109686	1994	Dumb-&-Dumber	7,579	0,335	2,137	4,000	0,650	1,000	0,129	183	37
269	Dune	tt0087182	1984	Dune	9,056	0,298	2,098	4,000	0,635	3,000	0,156	199	34
271	Eagle Eye	tt1059786	2008	Eagle-Eye	6,558	0,544	2,739	5,000	0,697	8,000	0,052	315	77
272	Eastern Promises	tt0765443	2007	Eastern-Promises	8,522	0,325	2,162	4,000	0,651	1,000	0,209	122	22
273	Edtv	tt0131369	1999	Edtv	8,610	0,493	2,504	6,000	0,641	5,000	0,074	417	82
